Report ID,Drug Identification Number,Report Type,Brand name,Company Name,Common or Proper name,Ingredients,Strength(s),Packaging size,Route of administration,Shortage status,Dosage form(s),ATC Code,ATC description,Anticipated start date,Actual start date,Estimated end date,Actual end date,Reason,Date Created,Date Updated
51084,436208,Shortage,2% LIDOCAINE HYDROCHLORIDE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,LIDOCAINE HYDROCHLORIDE ANSYR,LIDOCAINE HYDROCHLORIDE,20MG,10 x 5mL,INTRAVENOUS,Resolved,SOLUTION,C01BB,"ANTIARRHYTHMICS, CLASS I AND III",,2018-06-29,,2018-07-31,Disruption of the manufacture of the drug.,2018-06-01,2018-08-01
24792,2141450,Shortage,20% PROSOL,BAXTER CORPORATION,20% PROSOL,PHENYLALANINE  HISTIDINE  TRYPTOPHAN  LEUCINE  ARGININE  THREONINE  ALANINE  DL-METHIONINE  GLYCINE  GLUTAMIC ACID  PROLINE  L-ASPARTIC ACID  TYROSINE  LYSINE  SERINE  VALINE  ISOLEUCINE,1G  1.18G  0.32G  1.08G  1.96G  0.98G  2.76G  0.76G  2.06G  1.02G  1.34G  0.6G  0.05G  1.35G  1.02G  1.44G  1.08G,2000 mL,INTRAVENOUS,Resolved,LIQUID,B05BA,I.V. SOLUTIONS,2017-11-15,2017-11-15,2017-12-15,2017-11-21,Disruption of the manufacture of the drug.,2017-10-10,2017-11-22
49014,2248489,Shortage,"4% ASTRACAINE DENTAL WITH EPINEPHRINE 1:200,000 (0.005MG/ML)",DENTSPLY CANADA LIMITED,articaine HCl with epinephrine,ARTICAINE HYDROCHLORIDE  EPINEPHRINE,40MG  0.005MG,100 1.8 mL cartridges/box,BLOCK/INFILTRATION,Resolved,SOLUTION,N01BB,"ANESTHETICS, LOCAL",2018-05-10,2018-05-10,2018-07-16,2018-06-15,Disruption of the manufacture of the drug.,2018-05-10,2018-06-19
27274,2248489,Shortage,"4% ASTRACAINE DENTAL WITH EPINEPHRINE 1:200,000 (0.005MG/ML)",DENTSPLY CANADA LIMITED,"Articaine Hydrochloride 40 mg/mL and Epinephrine Injection 1:200,000",ARTICAINE HYDROCHLORIDE  EPINEPHRINE,40MG  0.005MG,100 1.8 mL cartridges/box,BLOCK/INFILTRATION,Resolved,SOLUTION,N01BB,"ANESTHETICS, LOCAL",2018-03-01,2018-03-01,2018-04-30,2018-03-29,Disruption of the manufacture of the drug.,2017-10-27,2018-03-30
26870,2299135,Shortage,40 (MEQ)MMOL/L POTASSIUM CHLORIDE PLUS 5% DEXTROSE & 0.9% CHLORURE DE SODIUM/SODIUM CHLORIDE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,Potassium Chloride in 5% Dextrose and 0.9% Sodium Chloride Injection USP 079109254,DEXTROSE  POTASSIUM CHLORIDE  SODIUM CHLORIDE,5.0G  0.3G  0.9G,1000ML,INTRAVENOUS,Resolved,SOLUTION,B05BB,I.V. SOLUTIONS,2017-10-17,,2017-11-30,2017-11-30,Other (Please describe in comments),2017-10-24,2018-12-28
34510,1924281,Shortage,5% DEXTROSE INJECTION USP,B. BRAUN MEDICAL INC,Dextrose,DEXTROSE,50MG,150mL,INTRAVENOUS,Resolved,SOLUTION,B05BA,I.V. SOLUTIONS,2017-12-22,2017-12-22,,2019-01-01,Disruption of the manufacture of the drug.,2018-01-02,2019-11-06
94473,60348,Shortage,"5% DEXTROSE INJECTION, USP",BAXTER CORPORATION,"5% DEXTROSE INJECTION, USP",DEXTROSE,5G,100 mL (JB0089),INTRAVENOUS,Resolved,SOLUTION,B05BA,I.V. SOLUTIONS,2019-09-20,2019-09-20,2019-10-09,2019-10-09,Shortage of an active ingredient.,2019-09-20,2019-10-10
92505,60348,Shortage,"5% DEXTROSE INJECTION, USP",BAXTER CORPORATION,"5% DEXTROSE INJECTION, USP",DEXTROSE,5G,50 mL (JB0040),INTRAVENOUS,Resolved,SOLUTION,B05BA,I.V. SOLUTIONS,2019-08-27,2019-08-27,2019-10-09,2019-10-09,Shortage of an active ingredient.,2019-08-27,2019-10-10
97992,60348,Shortage,"5% DEXTROSE INJECTION, USP",BAXTER CORPORATION,"5% Dextrose Injection, USP",DEXTROSE,5G,100mL,INTRAVENOUS,Resolved,SOLUTION,B05BA,I.V. SOLUTIONS,2019-11-05,2019-11-05,2019-11-11,2019-11-11,Demand increase for the drug.,2019-11-05,2019-11-12
30198,37974,Shortage,50% DEXTROSE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,50% DEXTROSE,DEXTROSE,500MG,25x50mL GVL,INTRAVENOUS,Resolved,SOLUTION,B05BA,I.V. SOLUTIONS,,2018-01-19,,2018-03-02,Disruption of the manufacture of the drug.,2017-11-22,2018-03-05
58741,180041,Shortage,A.C. & C 8MG TAB,VITA HEALTH PRODUCTS INC,Acetylsalicylic Acid 375 mg with 15 mg Caffeine and 8 mg Codeine Phosphate,ACETYLSALICYLIC ACID  CODEINE PHOSPHATE  CAFFEINE,375MG  8MG  15MG,"50, 100, 200",ORAL,Actual shortage,TABLET,N02AJ,OPIOIDS,,2018-08-22,,,Other (Please describe in comments),2018-08-22,2019-07-02
98240,2243180,Shortage,AA-FENO-MICRO,AA PHARMA INC,AA-FENO-MICRO,FENOFIBRATE,67MG,100BTL,ORAL,Actual shortage,CAPSULE,C10AB,"LIPID MODIFYING AGENTS, PLAIN",2019-11-08,2019-11-08,2019-11-13,,Disruption of the manufacture of the drug.,2019-11-08,2019-11-09
31261,2364190,Shortage,ABSTRAL,PALADIN LABS INC,Abstral,FENTANYL,300MCG,10 tablets,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,2015-11-27,2015-11-27,,,Disruption of the manufacture of the drug.,2017-11-30,2017-11-30
10409,2364174,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,100MCG,10 Tabs,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
10412,2364182,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,200MCG,10 Tabs,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
10415,2364182,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,200MCG,10 Tabs,SUBLINGUAL,Resolved,TABLET,N02AB,OPIOIDS,,2015-11-27,,2015-11-27,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
10418,2364204,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,400MCG,10 Tabs,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
10445,2364212,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,600MCG,10 Tabs,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
10448,2364220,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,800MCG,10 Tabs,SUBLINGUAL,Actual shortage,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,2017-11-30
70234,2303442,Shortage,ACCEL PIOGLITAZONE,ACCEL PHARMA INC,ACCEL PIOGLITAZONE,PIOGLITAZONE,15MG,100 tablets,ORAL,Resolved,TABLET,A10BG,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",2018-12-20,2018-12-20,2019-02-08,2019-02-06,Shortage of an active ingredient.,2018-12-20,2019-02-07
85709,2303442,Shortage,ACCEL PIOGLITAZONE,ACCEL PHARMA INC,ACCEL PIOGLITAZONE,PIOGLITAZONE,15MG,100 tablets,ORAL,Actual shortage,TABLET,A10BG,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",2019-06-06,2019-06-06,,,Disruption of the manufacture of the drug.,2019-06-06,2019-06-07
29649,2303450,Shortage,ACCEL PIOGLITAZONE,ACCEL PHARMA INC,ACCEL PIOGLITAZONE,PIOGLITAZONE,30MG,100 tablets,ORAL,Resolved,TABLET,A10BG,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",2017-11-17,2017-11-17,2018-01-10,2018-03-19,Disruption of the manufacture of the drug.,2017-11-17,2018-03-20
72804,2463768,Shortage,ACCEL-CANDESARTAN,ACCEL PHARMA INC,Accel Candesartan,CANDESARTAN CILEXETIL,8MG,100 tablets,ORAL,Resolved,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",2019-01-17,2019-01-17,2019-01-24,2019-01-30,Shortage of an active ingredient.,2019-01-17,2019-01-31
85701,2463776,Shortage,ACCEL-CANDESARTAN,ACCEL PHARMA INC,Accel Candesartan,CANDESARTAN CILEXETIL,16MG,100 tablets,ORAL,Actual shortage,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,2019-06-06,,,Other (Please describe in comments),2019-06-06,2019-06-07
85706,2463784,Shortage,ACCEL-CANDESARTAN,ACCEL PHARMA INC,Accel Candesartan,CANDESARTAN CILEXETIL,32MG,100 tablets,ORAL,Actual shortage,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,2019-06-06,,,Other (Please describe in comments),2019-06-06,2019-06-07
85714,2463768,Shortage,ACCEL-CANDESARTAN,ACCEL PHARMA INC,Accel Candesartan,CANDESARTAN CILEXETIL,8MG,100 tablets,ORAL,Actual shortage,TABLET,C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",,2019-06-06,,,Other (Please describe in comments),2019-06-06,2019-06-07
14434,2236606,Shortage,ACCOLATE TAB 20 MG,ASTRAZENECA CANADA INC,zafirlukast tablets,ZAFIRLUKAST,20MG,60,ORAL,Avoided shortage,TABLET,R03DC,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,2017-12-31,,,2017-08-15,Disruption of the manufacture of the drug.,2017-06-30,2017-08-15
68369,1947664,Shortage,ACCUPRIL 5MG TAB,PFIZER CANADA INC,Accupril,QUINAPRIL,5MG,90's,ORAL,Resolved,TABLET,C09AA,"ACE INHIBITORS, PLAIN",2019-01-18,2019-01-18,2019-02-08,2019-02-07,Demand increase for the drug.,2018-12-01,2019-02-08
68360,1947672,Shortage,ACCUPRIL TAB 10MG,PFIZER CANADA INC,Accupril,QUINAPRIL,10MG,90's,ORAL,Resolved,TABLET,C09AA,"ACE INHIBITORS, PLAIN",,2019-03-20,2019-04-11,2019-04-10,Demand increase for the drug.,2018-12-01,2019-04-11
68363,1947680,Shortage,ACCUPRIL TAB 20MG,PFIZER CANADA INC,Accupril,QUINAPRIL,20MG,90's,ORAL,Resolved,TABLET,C09AA,"ACE INHIBITORS, PLAIN",,2019-01-30,2019-04-11,2019-04-10,Demand increase for the drug.,2018-12-01,2019-04-11
68366,1947699,Shortage,ACCUPRIL TAB 40MG,PFIZER CANADA INC,Accupril,QUINAPRIL,40MG,90's,ORAL,Resolved,TABLET,C09AA,"ACE INHIBITORS, PLAIN",,2019-01-09,2019-04-11,2019-04-10,Demand increase for the drug.,2018-12-01,2019-04-11
41071,2286254,Shortage,ACEBUTOLOL,SANIS HEALTH INC,ACEBUTOLOL,ACEBUTOLOL,200MG,100,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,2018-04-02,2018-04-02,,2018-07-16,Disruption of the manufacture of the drug.,2018-02-26,2019-01-22
44143,2286262,Shortage,ACEBUTOLOL,SANIS HEALTH INC,ACEBUTOLOL,ACEBUTOLOL,400MG,100,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,2018-04-18,2018-04-17,,2018-07-16,Disruption of the manufacture of the drug.,2018-03-28,2019-01-22
41074,2286246,Shortage,ACEBUTOLOL,SANIS HEALTH INC,ACEBUTOLOL,ACEBUTOLOL,100MG,100,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,2018-05-07,2018-05-04,,2018-07-16,Disruption of the manufacture of the drug.,2018-02-26,2019-01-22
38020,2164426,Shortage,ACEBUTOLOL - 400 - TAB 400MG,PRO DOC LIMITEE,ACEBUTOLOL - 400,ACEBUTOLOL,400MG,100,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,,2018-02-01,,2018-11-15,Delay in shipping of the drug.,2018-02-01,2018-11-16
43748,2164396,Shortage,ACEBUTOLOL-100-TAB 100MG,PRO DOC LIMITEE,ACEBUTOLOL 100 MG,ACEBUTOLOL,100MG,100,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,,2018-03-23,,2018-11-15,Delay in shipping of the drug.,2018-03-23,2018-11-16
22073,2164418,Shortage,ACEBUTOLOL-200 - TAB 200MG,PRO DOC LIMITEE,ACEBUTOLOL-200,ACEBUTOLOL,200MG,100-500,ORAL,Resolved,TABLET,C07AB,BETA BLOCKING AGENTS,,2017-09-13,,2018-11-15,Delay in shipping of the drug.,2017-09-13,2018-11-16
80923,2362341,Shortage,ACETAMINOPHEN CAPLETS 325 MG,APOTEX INC,ACETAMINOPHEN CAPLETS 325 MG,ACETAMINOPHEN,325MG,100 BTL,ORAL,Resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,,2019-04-09,2019-04-12,2019-04-11,Disruption of the manufacture of the drug.,2019-04-10,2019-04-12
92010,2362368,Shortage,ACETAMINOPHEN CAPLETS 500 MG,APOTEX INC,ACETAMINOPHEN,ACETAMINOPHEN,500MG,100 BTL,ORAL,Resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,,2019-08-19,2019-10-07,2019-10-03,Disruption of the manufacture of the drug.,2019-08-21,2019-10-07
17195,2362244,Shortage,ACETAMINOPHEN TABLETS USP 500 MG,APOTEX INC,ACETAMINOPHEN,ACETAMINOPHEN,500MG,30 BTL,ORAL,Resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2017-08-18,,2017-09-29,2017-10-02,Disruption of the manufacture of the drug.,2017-07-26,2017-10-05
32028,2028174,Shortage,"ACETAMINOPHEN, CAFFEINE & CODEINE",PHARMASCIENCE INC,ACET CODEINE,ACETAMINOPHEN  CODEINE PHOSPHATE  CAFFEINE,300MG  8MG  15MG,200,ORAL,Actual shortage,TABLET,N02AJ,OPIOIDS,,2017-12-07,,,Disruption of the manufacture of the drug.,2017-12-07,2017-12-08
4161,2025337,Shortage,"ACETAMINOPHEN, CAFFEINE & CODEINE",PHARMASCIENCE INC,ANALGESICS C.L.,ACETAMINOPHEN  CODEINE PHOSPHATE  CAFFEINE,300MG  8MG  15MG,200,ORAL,Actual shortage,TABLET,N02AJ,,,2017-03-23,,,Disruption of the manufacture of the drug.,2017-03-24,2018-12-20
43848,2028174,Shortage,"ACETAMINOPHEN, CAFFEINE & CODEINE",PHARMASCIENCE INC,ACET CODEINE,ACETAMINOPHEN  CODEINE PHOSPHATE  CAFFEINE,300MG  8MG  15MG,100,ORAL,Actual shortage,TABLET,N02AJ,OPIOIDS,,2018-03-23,,,Other (Please describe in comments),2018-03-23,2018-03-24
13688,2025337,Shortage,"ACETAMINOPHEN, CAFFEINE & CODEINE",PHARMASCIENCE INC,ACETOMINOPHEN,ACETAMINOPHEN  CODEINE PHOSPHATE  CAFFEINE,300MG  8MG  15MG,100,ORAL,Actual shortage,TABLET,N02AJ,OPIOIDS,2017-08-21,2017-08-21,,,Disruption of the manufacture of the drug.,2017-06-23,2018-12-20
23251,2017431,Shortage,ACETAMINOPHENE 160MGCO.CROQUABLE POUR ENFANT,LABORATOIRE RIVA INC,Acetaminophene 160mgco. Croquable pour enfant,ACETAMINOPHEN,160MG,20,ORAL,Resolved,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2017-09-25,2017-09-25,2017-09-29,2017-10-13,Disruption of the manufacture of the drug.,2017-09-25,2017-10-24
47284,382752,Shortage,ACETAMINOPHENE 325TAB,PRO DOC LIMITEE,ACETAMINOPHENE 325TAB,ACETAMINOPHEN,325MG,1000,ORAL,Avoided shortage,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2018-08-31,,,2018-06-20,Delay in shipping of the drug.,2018-04-26,2018-06-20
5652,386626,Shortage,ACETAMINOPHENE 500TAB,PRO DOC LIMITEE,ACETAMINOPHENE,ACETAMINOPHEN,500MG,1000,ORAL,Avoided shortage,TABLET,N02BE,OTHER ANALGESICS AND ANTIPYRETICS,2018-09-12,,,2018-06-20,Delay in shipping of the drug.,2017-04-05,2018-09-11
35352,545015,Shortage,ACETAZOLAMIDE,AA PHARMA INC,Acetazolamide,ACETAZOLAMIDE,250MG,100 BTL,ORAL,Resolved,TABLET,S01EC,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,,2018-01-09,2018-01-19,2018-01-18,Disruption of the manufacture of the drug.,2018-01-09,2018-04-23
14896,545015,Shortage,ACETAZOLAMIDE,AA PHARMA INC,ACETAZOLAMIDE,ACETAZOLAMIDE,250MG,100 Bottle,ORAL,Resolved,TABLET,S01EC,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,,2017-07-06,2017-07-17,2017-07-12,Disruption of the manufacture of the drug.,2017-07-07,2017-07-13
69535,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,30ml,INHALATION  INTRAVENOUS  ORAL,Actual shortage,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",,2018-10-15,,,Requirements related to complying with good manufacturing practices.,2018-12-13,2018-12-13
2482,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,10ML,INHALATION  INTRAVENOUS  ORAL,Resolved,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",2017-03-14,,2017-04-14,2017-04-24,Disruption of the manufacture of the drug.,2017-03-14,2017-06-26
2486,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,30ML,INHALATION  INTRAVENOUS  ORAL,Resolved,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",2017-03-14,,2017-07-28,2017-07-28,Disruption of the manufacture of the drug.,2017-03-14,2017-08-02
55771,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,10ML VIAL,INHALATION  INTRAVENOUS  ORAL,Resolved,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",,2018-06-23,2018-08-20,2018-08-17,Requirements related to complying with good manufacturing practices.,2018-07-13,2018-08-23
55774,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,30ML VIAL,INHALATION  INTRAVENOUS  ORAL,Resolved,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",,2018-06-23,2018-08-20,2018-08-17,Requirements related to complying with good manufacturing practices.,2018-07-13,2018-08-23
73185,2243098,Shortage,ACETYLCYSTEINE SOLUTION,SANDOZ CANADA INCORPORATED,ACETYLCYSTEINE,ACETYLCYSTEINE,200MG,10,INHALATION  INTRAVENOUS  ORAL,Actual shortage,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",2018-10-15,,,,Requirements related to complying with good manufacturing practices.,2019-01-22,2019-01-21
85112,2459906,Shortage,ACETYLCYSTEINE SOLUTION USP,TELIGENT OU,Acetylcysteine,ACETYLCYSTEINE,200MG,10ml,INHALATION  INTRAVENOUS  ORAL,Actual shortage,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",2019-05-28,,2019-10-31,,Disruption of the manufacture of the drug.,2019-05-28,2019-05-29
55518,2459906,Shortage,ACETYLCYSTEINE SOLUTION USP,TELIGENT OU,Acetylcysteine Solution USP,ACETYLCYSTEINE,200MG,10 mL,INHALATION  INTRAVENOUS  ORAL,Resolved,SOLUTION,R05CB,"EXPECTORANTS,EXCL COMBINATIONS WITH COUGH SUPPR.",,2018-02-12,2018-08-29,2018-08-29,Disruption of the manufacture of the drug.,2018-07-12,2018-09-04
5804,2381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 tabs in blister pack per box  |  28 comprimés en plaquette thermoformée par boîte,ORAL,Resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-04-01,2017-04-01,2017-04-01,2017-04-01,Disruption of the manufacture of the drug.,2017-04-06,2017-05-09
5806,2381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 TABS PER BOX     |     BOÎTE DE 28 COMPRIMÉS,ORAL,Resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-04-01,2017-04-01,2017-10-20,2017-09-25,Disruption of the manufacture of the drug.,2017-04-06,2017-09-29
5817,2381494,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,70MG,4 TABS PER BOX     |     BOÎTE DE 4 COMPRIMÉS,ORAL,Resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,2017-03-01,2017-03-01,2017-07-28,2017-07-07,Disruption of the manufacture of the drug.,2017-04-06,2017-07-08
33986,2381486,Shortage,ACH-ALENDRONATE,ACCORD HEALTHCARE INC,ALENDRONATE,ALENDRONIC ACID,10MG,28 tabs (blister) per box  | 28 comprimés en plaquette par boîte,ORAL,Resolved,TABLET,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,,2017-12-11,2018-02-09,2018-02-12,Disruption of the manufacture of the drug.,2017-12-20,2018-02-15
87147,2351218,Shortage,ACH-ANASTROZOLE,ACCORD HEALTHCARE INC,ACH-Anastrozole,ANASTROZOLE,1MG,30 blister,ORAL,Actual shortage,TABLET,L02BG,HORMONE ANTAGONISTS AND RELATED AGENTS,2019-06-21,2019-06-21,,,Demand increase for the drug.,2019-06-20,2019-06-22
